Mrpl15	Mrpl15
Lypla1	Lypla1
Gm37988	Gm37988
Tcea1	Tcea1
Atp6v1h	Atp6v1h
Rb1cc1	Rb1cc1
4732440D04Rik	4732440D04Rik
St18	St18
Pcmtd1	Pcmtd1
Gm26901	Gm26901
Gm30414	Gm30414
Rrs1	Rrs1
Adhfe1	Adhfe1
Mybl1	Mybl1
Vcpip1	Vcpip1
1700034P13Rik	1700034P13Rik
Sgk3	Sgk3
Mcmdc2	Mcmdc2
Snhg6	Snhg6
Tcf24	Tcf24
Cops5	Cops5
Cspp1	Cspp1
Arfgef1	Arfgef1
Prex2	Prex2
A830018L16Rik	A830018L16Rik
Gm17644	Gm17644
Slco5a1	Slco5a1
Prdm14	Prdm14
Ncoa2	Ncoa2
Tram1	Tram1
Lactb2	Lactb2
Eya1	Eya1
Gm9947	Gm9947
Msc	Msc
Trpa1	Trpa1
Terf1	Terf1
Sbspon	Sbspon
4930444P10Rik	4930444P10Rik
Rpl7	Rpl7
Rdh10	Rdh10
Stau2	Stau2
Ube2w	Ube2w
Tceb1	Tceb1
D030040B21Rik	D030040B21Rik
Tmem70	Tmem70
Ly96	Ly96
Il17a	Il17a
Il17f	Il17f
Mcm3	Mcm3
6720483E21Rik	6720483E21Rik
Paqr8	Paqr8
Efhc1	Efhc1
Tram2	Tram2
Gm28287	Gm28287
Tmem14a	Tmem14a
Gsta3	Gsta3
Khdc1a	Khdc1a
Khdc1c	Khdc1c
Kcnq5	Kcnq5
Gm26580	Gm26580
Gm29107	Gm29107
Ogfrl1	Ogfrl1
B3gat2	B3gat2
Smap1	Smap1
Sdhaf4	Sdhaf4
Fam135a	Fam135a
Lmbrd1	Lmbrd1
Phf3	Phf3
Ptp4a1	Ptp4a1
Gm37724	Gm37724
Prim2	Prim2
Rab23	Rab23
Bag2	Bag2
Zfp451	Zfp451
Bend6	Bend6
Dst	Dst
Gm37233	Gm37233
Ccdc115	Ccdc115
Gm28306	Gm28306
Imp4	Imp4
Ptpn18	Ptpn18
4930568A12Rik	4930568A12Rik
Prss39	Prss39
Arhgef4	Arhgef4
Gm38336	Gm38336
Fam168b	Fam168b
Plekhb2	Plekhb2
Gm37068	Gm37068
Hs6st1	Hs6st1
Uggt1	Uggt1
Neurl3	Neurl3
Arid5a	Arid5a
4930403P22Rik	4930403P22Rik
Kansl3	Kansl3
Lman2l	Lman2l
Cnnm4	Cnnm4
Cnnm3	Cnnm3
Ankrd23	Ankrd23
Gm43543	Gm43543
Ankrd39	Ankrd39
Sema4c	Sema4c
Fam178b	Fam178b
Cox5b	Cox5b
Actr1b	Actr1b
4933424G06Rik	4933424G06Rik
Gm33533	Gm33533
Zap70	Zap70
Tmem131	Tmem131
Vwa3b	Vwa3b
Inpp4a	Inpp4a
Coa5	Coa5
Unc50	Unc50
Mgat4a	Mgat4a
2010300C02Rik	2010300C02Rik
4930556I23Rik	4930556I23Rik
Tsga10	Tsga10
Gm26805	Gm26805
Lipt1	Lipt1
Mitd1	Mitd1
Mrpl30	Mrpl30
Txndc9	Txndc9
Eif5b	Eif5b
Rev1	Rev1
Aff3	Aff3
Gm16152	Gm16152
Lonrf2	Lonrf2
Chst10	Chst10
Gm37707	Gm37707
Pdcl3	Pdcl3
Rpl31	Rpl31
Tbc1d8	Tbc1d8
Cnot11	Cnot11
Rnf149	Rnf149
Creg2	Creg2
D930019O06Rik	D930019O06Rik
Rfx8	Rfx8
1700066B17Rik	1700066B17Rik
Map4k4	Map4k4
Il1r2	Il1r2
Gm16894	Gm16894
Il1r1	Il1r1
Il1rl2	Il1rl2
Il1rl1	Il1rl1
Il18r1	Il18r1
Il18rap	Il18rap
Slc9a2	Slc9a2
Gm37915	Gm37915
Mfsd9	Mfsd9
Mrps9	Mrps9
Gpr45	Gpr45
Tgfbrap1	Tgfbrap1
Gm28782	Gm28782
8430432A02Rik	8430432A02Rik
AI597479	AI597479
Fhl2	Fhl2
Nck2	Nck2
Uxs1	Uxs1
Tpp2	Tpp2
Mettl21c	Mettl21c
Gm8251	Gm8251
Tex30	Tex30
Kdelc1	Kdelc1
Bivm	Bivm
Ercc5	Ercc5
Gulp1	Gulp1
Col3a1	Col3a1
Wdr75	Wdr75
Slc40a1	Slc40a1
Dnah7b	Dnah7b
Slc39a10	Slc39a10
Gm28151	Gm28151
Sdpr	Sdpr
1700072G22Rik	1700072G22Rik
Nabp1	Nabp1
Gm17767	Gm17767
Myo1b	Myo1b
Stat4	Stat4
Stat1	Stat1
Gls	Gls
Nab1	Nab1
Gm553	Gm553
Tmem194b	Tmem194b
Mfsd6	Mfsd6
